STATION,LINENAME,DATE,HOUR,ENTRIES,EXITS,CROWD_LEVEL
R16,N,06/29/2025,0,184,142,4
R16,N,06/29/2025,1,190,104,3
R16,N,06/29/2025,2,145,131,3
R16,N,06/29/2025,3,187,129,3
R16,N,06/29/2025,4,181,131,3
R16,N,06/29/2025,5,136,141,3
R16,N,06/29/2025,6,206,145,2
R16,N,06/29/2025,7,778,447,3
R16,N,06/29/2025,8,771,483,3
R16,N,06/29/2025,9,773,502,3
R16,N,06/29/2025,10,491,414,4
R16,N,06/29/2025,11,486,440,3
R16,N,06/29/2025,12,487,394,3
R16,N,06/29/2025,13,514,431,3
R16,N,06/29/2025,14,490,366,4
R16,N,06/29/2025,15,500,387,3
R16,N,06/29/2025,16,476,395,3
R16,N,06/29/2025,17,465,821,3
R16,N,06/29/2025,18,441,790,3
R16,N,06/29/2025,19,458,773,3
R16,N,06/29/2025,20,119,101,2
R16,N,06/29/2025,21,203,136,3
R16,N,06/29/2025,22,114,118,3
R16,N,06/29/2025,23,145,129,3
R16,N,06/30/2025,0,119,157,3
R16,N,06/30/2025,1,203,129,3
R16,N,06/30/2025,2,201,140,3
R16,N,06/30/2025,3,150,92,3
R16,N,06/30/2025,4,124,151,5
R16,N,06/30/2025,5,118,122,3
R16,N,06/30/2025,6,117,110,4
R16,N,06/30/2025,7,839,501,5
R16,N,06/30/2025,8,799,448,3
R16,N,06/30/2025,9,834,452,3
R16,N,06/30/2025,10,493,425,3
R16,N,06/30/2025,11,495,419,3
R16,N,06/30/2025,12,547,418,5
R16,N,06/30/2025,13,531,401,5
R16,N,06/30/2025,14,475,436,3
R16,N,06/30/2025,15,534,414,3
R16,N,06/30/2025,16,472,383,5
R16,N,06/30/2025,17,447,817,3
R16,N,06/30/2025,18,522,765,4
R16,N,06/30/2025,19,475,832,4
R16,N,06/30/2025,20,202,104,3
R16,N,06/30/2025,21,149,153,3
R16,N,06/30/2025,22,145,143,4
R16,N,06/30/2025,23,147,152,2
R16,N,07/01/2025,0,171,117,3
R16,N,07/01/2025,1,158,90,3
R16,N,07/01/2025,2,156,167,3
R16,N,07/01/2025,3,124,134,4
R16,N,07/01/2025,4,169,119,3
R16,N,07/01/2025,5,155,120,3
R16,N,07/01/2025,6,209,122,3
R16,N,07/01/2025,7,814,501,5
R16,N,07/01/2025,8,755,518,3
R16,N,07/01/2025,9,807,489,3
R16,N,07/01/2025,10,510,390,3
R16,N,07/01/2025,11,523,384,5
R16,N,07/01/2025,12,529,383,5
R16,N,07/01/2025,13,475,413,3
R16,N,07/01/2025,14,479,418,3
R16,N,07/01/2025,15,478,432,3
R16,N,07/01/2025,16,533,411,3
R16,N,07/01/2025,17,508,765,3
R16,N,07/01/2025,18,486,766,3
R16,N,07/01/2025,19,459,834,2
R16,N,07/01/2025,20,147,168,3
R16,N,07/01/2025,21,202,120,3
R16,N,07/01/2025,22,178,123,3
R16,N,07/01/2025,23,194,91,3
R16,N,07/02/2025,0,124,146,3
R16,N,07/02/2025,1,198,155,3
R16,N,07/02/2025,2,210,167,3
R16,N,07/02/2025,3,123,121,3
R16,N,07/02/2025,4,141,89,2
R16,N,07/02/2025,5,205,97,5
R16,N,07/02/2025,6,162,137,3
R16,N,07/02/2025,7,787,519,4
R16,N,07/02/2025,8,780,452,3
R16,N,07/02/2025,9,830,477,4
R16,N,07/02/2025,10,517,367,3
R16,N,07/02/2025,11,526,415,2
R16,N,07/02/2025,12,545,413,3
R16,N,07/02/2025,13,539,382,3
R16,N,07/02/2025,14,482,412,3
R16,N,07/02/2025,15,468,425,3
R16,N,07/02/2025,16,533,391,3
R16,N,07/02/2025,17,467,815,3
R16,N,07/02/2025,18,490,837,4
R16,N,07/02/2025,19,464,819,3
R16,N,07/02/2025,20,171,123,3
R16,N,07/02/2025,21,140,136,4
R16,N,07/02/2025,22,125,131,5
R16,N,07/02/2025,23,132,97,2
R16,N,07/03/2025,0,126,133,3
R16,N,07/03/2025,1,156,120,3
R16,N,07/03/2025,2,140,133,5
R16,N,07/03/2025,3,140,143,3
R16,N,07/03/2025,4,205,124,3
R16,N,07/03/2025,5,198,144,3
R16,N,07/03/2025,6,127,89,2
R16,N,07/03/2025,7,822,504,4
R16,N,07/03/2025,8,791,486,5
R16,N,07/03/2025,9,754,470,3
R16,N,07/03/2025,10,538,415,3
R16,N,07/03/2025,11,535,382,2
R16,N,07/03/2025,12,528,360,3
R16,N,07/03/2025,13,544,381,3
R16,N,07/03/2025,14,513,375,3
R16,N,07/03/2025,15,516,425,3
R16,N,07/03/2025,16,484,397,3
R16,N,07/03/2025,17,482,807,5
R16,N,07/03/2025,18,438,788,3
R16,N,07/03/2025,19,505,765,2
R16,N,07/03/2025,20,137,88,2
R16,N,07/03/2025,21,123,91,2
R16,N,07/03/2025,22,141,150,3
R16,N,07/03/2025,23,186,134,3
R16,N,07/04/2025,0,170,115,3
R16,N,07/04/2025,1,187,133,2
R16,N,07/04/2025,2,209,103,3
R16,N,07/04/2025,3,180,93,3
R16,N,07/04/2025,4,207,116,3
R16,N,07/04/2025,5,158,151,3
R16,N,07/04/2025,6,180,122,3
R16,N,07/04/2025,7,819,502,4
R16,N,07/04/2025,8,827,510,3
R16,N,07/04/2025,9,788,470,2
R16,N,07/04/2025,10,484,407,3
R16,N,07/04/2025,11,519,413,2
R16,N,07/04/2025,12,525,401,3
R16,N,07/04/2025,13,487,391,3
R16,N,07/04/2025,14,521,421,3
R16,N,07/04/2025,15,465,422,4
R16,N,07/04/2025,16,510,369,3
R16,N,07/04/2025,17,501,789,3
R16,N,07/04/2025,18,445,782,3
R16,N,07/04/2025,19,519,766,5
R16,N,07/04/2025,20,125,107,4
R16,N,07/04/2025,21,134,147,3
R16,N,07/04/2025,22,189,155,2
R16,N,07/04/2025,23,166,117,3
R16,N,07/05/2025,0,209,108,3
R16,N,07/05/2025,1,208,166,5
R16,N,07/05/2025,2,114,102,3
R16,N,07/05/2025,3,165,154,2
R16,N,07/05/2025,4,111,149,3
R16,N,07/05/2025,5,147,90,2
R16,N,07/05/2025,6,198,149,3
R16,N,07/05/2025,7,795,493,3
R16,N,07/05/2025,8,815,509,4
R16,N,07/05/2025,9,831,483,4
R16,N,07/05/2025,10,474,377,3
R16,N,07/05/2025,11,549,439,5
R16,N,07/05/2025,12,535,435,3
R16,N,07/05/2025,13,469,435,3
R16,N,07/05/2025,14,492,433,3
R16,N,07/05/2025,15,483,435,3
R16,N,07/05/2025,16,542,366,3
R16,N,07/05/2025,17,454,815,3
R16,N,07/05/2025,18,475,771,3
R16,N,07/05/2025,19,463,814,3
R16,N,07/05/2025,20,179,107,3
R16,N,07/05/2025,21,114,117,2
R16,N,07/05/2025,22,200,161,3
R16,N,07/05/2025,23,147,118,3
R16,N,07/06/2025,0,207,111,3
R16,N,07/06/2025,1,126,167,3
R16,N,07/06/2025,2,153,105,3
R16,N,07/06/2025,3,193,124,3
R16,N,07/06/2025,4,187,137,3
R16,N,07/06/2025,5,206,121,3
R16,N,07/06/2025,6,136,121,4
R16,N,07/06/2025,7,805,480,3
R16,N,07/06/2025,8,850,441,3
R16,N,07/06/2025,9,828,463,3
R16,N,07/06/2025,10,473,437,4
R16,N,07/06/2025,11,461,378,3
R16,N,07/06/2025,12,472,361,3
R16,N,07/06/2025,13,503,370,3
R16,N,07/06/2025,14,540,427,3
R16,N,07/06/2025,15,480,428,3
R16,N,07/06/2025,16,536,408,3
R16,N,07/06/2025,17,511,820,4
R16,N,07/06/2025,18,482,820,4
R16,N,07/06/2025,19,438,822,3
R16,N,07/06/2025,20,176,110,4
R16,N,07/06/2025,21,154,139,3
R16,N,07/06/2025,22,139,130,3
R16,N,07/06/2025,23,180,103,2
R16,N,07/07/2025,0,169,96,3
R16,N,07/07/2025,1,139,141,3
R16,N,07/07/2025,2,169,143,3
R16,N,07/07/2025,3,134,134,3
R16,N,07/07/2025,4,170,163,3
R16,N,07/07/2025,5,207,156,3
R16,N,07/07/2025,6,110,123,2
R16,N,07/07/2025,7,752,471,3
R16,N,07/07/2025,8,831,511,5
R16,N,07/07/2025,9,837,515,4
R16,N,07/07/2025,10,514,426,3
R16,N,07/07/2025,11,463,424,2
R16,N,07/07/2025,12,534,438,3
R16,N,07/07/2025,13,465,409,3
R16,N,07/07/2025,14,486,394,3
R16,N,07/07/2025,15,538,365,4
R16,N,07/07/2025,16,536,407,4
R16,N,07/07/2025,17,437,819,3
R16,N,07/07/2025,18,509,780,3
R16,N,07/07/2025,19,465,788,3
R16,N,07/07/2025,20,137,151,3
R16,N,07/07/2025,21,196,133,3
R16,N,07/07/2025,22,171,132,3
R16,N,07/07/2025,23,116,136,3
R16,N,07/08/2025,0,186,126,5
R16,N,07/08/2025,1,174,120,3
R16,N,07/08/2025,2,208,151,3
R16,N,07/08/2025,3,110,95,2
R16,N,07/08/2025,4,114,154,3
R16,N,07/08/2025,5,153,126,3
R16,N,07/08/2025,6,198,124,2
R16,N,07/08/2025,7,805,508,4
R16,N,07/08/2025,8,837,451,3
R16,N,07/08/2025,9,848,515,4
R16,N,07/08/2025,10,516,422,3
R16,N,07/08/2025,11,532,367,3
R16,N,07/08/2025,12,510,396,3
R16,N,07/08/2025,13,539,417,4
R16,N,07/08/2025,14,493,429,3
R16,N,07/08/2025,15,525,434,3
R16,N,07/08/2025,16,505,392,3
R16,N,07/08/2025,17,513,819,4
R16,N,07/08/2025,18,446,769,4
R16,N,07/08/2025,19,517,777,3
R16,N,07/08/2025,20,208,104,3
R16,N,07/08/2025,21,182,140,3
R16,N,07/08/2025,22,179,125,3
R16,N,07/08/2025,23,142,125,3
R16,N,07/09/2025,0,193,144,3
R16,N,07/09/2025,1,175,121,3
R16,N,07/09/2025,2,156,97,3
R16,N,07/09/2025,3,159,98,3
R16,N,07/09/2025,4,187,121,3
R16,N,07/09/2025,5,143,142,3
R16,N,07/09/2025,6,157,103,3
R16,N,07/09/2025,7,753,476,3
R16,N,07/09/2025,8,848,476,4
R16,N,07/09/2025,9,762,448,3
R16,N,07/09/2025,10,515,411,3
R16,N,07/09/2025,11,533,419,3
R16,N,07/09/2025,12,456,427,3
R16,N,07/09/2025,13,530,365,2
R16,N,07/09/2025,14,539,415,3
R16,N,07/09/2025,15,516,421,3
R16,N,07/09/2025,16,477,376,3
R16,N,07/09/2025,17,437,803,3
R16,N,07/09/2025,18,434,816,4
R16,N,07/09/2025,19,514,774,3
R16,N,07/09/2025,20,154,145,3
R16,N,07/09/2025,21,150,99,3
R16,N,07/09/2025,22,131,102,2
R16,N,07/09/2025,23,136,115,3
R16,N,07/10/2025,0,122,116,3
R16,N,07/10/2025,1,182,157,5
R16,N,07/10/2025,2,144,92,2
R16,N,07/10/2025,3,148,153,3
R16,N,07/10/2025,4,171,163,3
R16,N,07/10/2025,5,124,115,2
R16,N,07/10/2025,6,127,142,5
R16,N,07/10/2025,7,804,467,3
R16,N,07/10/2025,8,836,516,4
R16,N,07/10/2025,9,803,486,3
R16,N,07/10/2025,10,513,396,3
R16,N,07/10/2025,11,528,377,3
R16,N,07/10/2025,12,533,438,3
R16,N,07/10/2025,13,541,433,3
R16,N,07/10/2025,14,519,361,3
R16,N,07/10/2025,15,510,370,3
R16,N,07/10/2025,16,531,434,3
R16,N,07/10/2025,17,502,796,3
R16,N,07/10/2025,18,527,830,4
R16,N,07/10/2025,19,516,786,4
R16,N,07/10/2025,20,183,130,5
R16,N,07/10/2025,21,172,111,3
R16,N,07/10/2025,22,165,154,3
R16,N,07/10/2025,23,180,119,3
R16,N,07/11/2025,0,178,120,3
R16,N,07/11/2025,1,160,98,3
